[21/01/2020 0:41:49] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 80000] 
[21/01/2020 0:41:55] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 80000] 
[21/01/2020 0:41:57] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 800000] 
[21/01/2020 0:42:01] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 800000] 
[21/01/2020 0:42:02] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400000] 
[21/01/2020 0:42:20] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40000] 
[21/01/2020 0:42:23] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20000] 
[21/01/2020 0:42:31] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 10000] 
[21/01/2020 0:42:52] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin3], Params: [] 
[21/01/2020 0:42:56] --> GM: Jager_268477835, Target: [Jager], Action: [admin_social_menu], Params: [] 
[21/01/2020 0:42:59] --> GM: Jager_268477835, Target: [Jager], Action: [admin_social_menu], Params: [ 12] 
[21/01/2020 0:43:04] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin3], Params: [] 
[21/01/2020 0:43:34] --> GM: Jager_268477835, Target: [Jager], Action: [admin_earthquake_menu], Params: [] 
[21/01/2020 0:44:00] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [] 
[21/01/2020 0:44:03] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 10000] 
[21/01/2020 0:44:05] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1000] 
[21/01/2020 0:44:06] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 2000] 
[21/01/2020 0:44:09] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 2000] 
[21/01/2020 0:44:21] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 200000] 
[21/01/2020 0:44:24] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400000] 
[21/01/2020 0:44:27] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 200] 
[21/01/2020 0:44:28] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400] 
[21/01/2020 0:44:30] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 800] 
[21/01/2020 0:44:32] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 800] 
[21/01/2020 0:44:33] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400] 
[21/01/2020 0:44:34] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 400] 
[21/01/2020 0:44:36] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20] 
[21/01/2020 0:44:37] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20] 
[21/01/2020 0:44:38] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1000] 
[21/01/2020 0:44:39] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1000] 
[21/01/2020 0:44:40] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 2000] 
[21/01/2020 0:44:41] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 2000] 
[21/01/2020 0:44:42] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 4000] 
[21/01/2020 0:44:44] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 4000] 
[21/01/2020 0:44:46] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20000] 
[21/01/2020 0:44:47] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 20000] 
[21/01/2020 0:44:49] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40000] 
[21/01/2020 0:44:50] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40000] 
[21/01/2020 0:44:52] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40000] 
[21/01/2020 0:44:52] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 40000] 
[21/01/2020 0:44:54] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 1] 
