[21/01/2020 0:28:34] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:28:38] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin2], Params: [] 
[21/01/2020 0:28:48] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_char_manage], Params: [] 
[21/01/2020 0:29:05] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_help], Params: [ help/charmanage.htm] 
[21/01/2020 0:29:16] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:29:29] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_announce_menu], Params: [] 
[21/01/2020 0:29:41] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_announce_menu], Params: [ MEREEEEEEEEEEEEEEEEE] 
[21/01/2020 0:30:02] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:32:42] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_goup], Params: [] 
[21/01/2020 0:32:48] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_gonorth], Params: [] 
[21/01/2020 0:32:54] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_teleto], Params: [ r] 
[21/01/2020 0:33:32] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_goup], Params: [] 
[21/01/2020 0:33:35] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_teleto], Params: [ end] 
[21/01/2020 0:34:53] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_cw_goto], Params: [] 
[21/01/2020 0:35:20] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_cw_goto], Params: [] 
[21/01/2020 0:37:09] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_sethero], Params: [] 
[21/01/2020 0:37:21] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:37:24] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:37:26] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_move_to], Params: [] 
[21/01/2020 0:37:34] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_help], Params: [ tele/locations/interlude.htm] 
[21/01/2020 0:37:45] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_move_to], Params: [ 6229 -2924 -2965] 
[21/01/2020 0:38:12] --> GM: Balauru_268477770, Target: [Asamah], Action: [admin_admin], Params: [] 
[21/01/2020 0:38:15] --> GM: Balauru_268477770, Target: [Asamah], Action: [admin_move_to], Params: [] 
[21/01/2020 0:38:17] --> GM: Balauru_268477770, Target: [Asamah], Action: [admin_help], Params: [ tele/locations/interlude.htm] 
[21/01/2020 0:41:29] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:41:36] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin3], Params: [] 
[21/01/2020 0:41:43] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [] 
[21/01/2020 0:41:52] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 80000] 
[21/01/2020 0:42:07] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 800000] 
[21/01/2020 0:42:10] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 800000] 
[21/01/2020 0:42:12] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 800000] 
[21/01/2020 0:42:13] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 80000] 
[21/01/2020 0:42:16] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 8000] 
[21/01/2020 0:42:19] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 80000] 
[21/01/2020 0:42:20] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 80000] 
[21/01/2020 0:42:22] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 8000] 
[21/01/2020 0:42:24] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_abnormal_menu], Params: [ 800] 
