[13/02/2020 22:56:07,047] '---': GM: Arcane(268477770), Target: [Ketra's Holy Altar], Command: [admin_help], Params: [ tele/other.htm]
[13/02/2020 22:56:09,023] '---': GM: Arcane(268477770), Target: [Ketra's Holy Altar], Command: [admin_help], Params: [ tele/raid.htm]
[13/02/2020 22:56:10,053] '---': GM: Arcane(268477770), Target: [Ketra's Holy Altar], Command: [admin_help], Params: [ tele/raid/raid_80.htm]
[13/02/2020 22:56:14,701] '---': GM: Arcane(268477770), Target: [Ketra's Holy Altar], Command: [admin_move_to], Params: [ 3776 -6768 -32]
[13/02/2020 22:56:44,100] '---': GM: Arcane(268477770), Target: [Uruka], Command: [admin_show_droplist], Params: [ 25527]
[13/02/2020 22:56:53,906] '---': GM: Arcane(268477770), Target: [Uruka], Command: [admin_edit_drop], Params: [ 25527 6697 1 false]
[13/02/2020 22:57:28,489] '---': GM: Arcane(268477770), Target: [Uruka], Command: [admin_admin], Params: []
[13/02/2020 22:57:29,907] '---': GM: Arcane(268477770), Target: [Uruka], Command: [admin_create_item], Params: []
[13/02/2020 22:57:33,964] '---': GM: Arcane(268477770), Target: [Uruka], Command: [admin_create_item], Params: [ 9821 1]
[13/02/2020 22:58:20,358] '---': GM: Arcane(268477770), Target: [Uruka], Command: [admin_admin], Params: []
[13/02/2020 22:58:21,774] '---': GM: Arcane(268477770), Target: [Uruka], Command: [admin_create_item], Params: []
[13/02/2020 22:58:26,639] '---': GM: Arcane(268477770), Target: [Uruka], Command: [admin_create_item], Params: [ 9817 1]
